monitor,m o n i t o r,"Input: monitor Answer: m o n i t o r
"
dawn,d a w n,"Input: dawn Answer: d a w n
"
attachment,a t t a c h m e n t,"Input: attachment Answer: a t t a c h m e n t
"
essay,e s s a y,"Input: essay Answer: e s s a y
"
golf,g o l f,"Input: golf Answer: g o l f
"
grain,g r a i n,"Input: grain Answer: g r a i n
"
amendment,a m e n d m e n t,"Input: amendment Answer: a m e n d m e n t
"
internet,i n t e r n e t,"Input: internet Answer: i n t e r n e t
"
pleasure,p l e a s u r e,"Input: pleasure Answer: p l e a s u r e
"
flee,f l e e,"Input: flee Answer: f l e e
"
upgrade,u p g r a d e,"Input: upgrade Answer: u p g r a d e
"
securing,s e c u r i n g,"Input: securing Answer: s e c u r i n g
"
hamlet,h a m l e t,"Input: hamlet Answer: h a m l e t
"
backup,b a c k u p,"Input: backup Answer: b a c k u p
"
stance,s t a n c e,"Input: stance Answer: s t a n c e
"
wreck,w r e c k,"Input: wreck Answer: w r e c k
"
muscle,m u s c l e,"Input: muscle Answer: m u s c l e
"
grandson,g r a n d s o n,"Input: grandson Answer: g r a n d s o n
"
citizen,c i t i z e n,"Input: citizen Answer: c i t i z e n
"
ensemble,e n s e m b l e,"Input: ensemble Answer: e n s e m b l e
"
speaker,s p e a k e r,"Input: speaker Answer: s p e a k e r
"
input,i n p u t,"Input: input Answer: i n p u t
"
item,i t e m,"Input: item Answer: i t e m
"
barrier,b a r r i e r,"Input: barrier Answer: b a r r i e r
"
rookie,r o o k i e,"Input: rookie Answer: r o o k i e
"
scrap,s c r a p,"Input: scrap Answer: s c r a p
"
layout,l a y o u t,"Input: layout Answer: l a y o u t
"
compensation,c o m p e n s a t i o n,"Input: compensation Answer: c o m p e n s a t i o n
"
darkness,d a r k n e s s,"Input: darkness Answer: d a r k n e s s
"
invitation,i n v i t a t i o n,"Input: invitation Answer: i n v i t a t i o n
"
notion,n o t i o n,"Input: notion Answer: n o t i o n
"
monarchy,m o n a r c h y,"Input: monarchy Answer: m o n a r c h y
"
midnight,m i d n i g h t,"Input: midnight Answer: m i d n i g h t
"
diary,d i a r y,"Input: diary Answer: d i a r y
"
locate,l o c a t e,"Input: locate Answer: l o c a t e
"
consent,c o n s e n t,"Input: consent Answer: c o n s e n t
"
disappointment,d i s a p p o i n t m e n t,"Input: disappointment Answer: d i s a p p o i n t m e n t
"
employee,e m p l o y e e,"Input: employee Answer: e m p l o y e e
"
identification,i d e n t i f i c a t i o n,"Input: identification Answer: i d e n t i f i c a t i o n
"
anger,a n g e r,"Input: anger Answer: a n g e r
"
destination,d e s t i n a t i o n,"Input: destination Answer: d e s t i n a t i o n
"
inscription,i n s c r i p t i o n,"Input: inscription Answer: i n s c r i p t i o n
"
lineup,l i n e u p,"Input: lineup Answer: l i n e u p
"
celebrity,c e l e b r i t y,"Input: celebrity Answer: c e l e b r i t y
"
soap,s o a p,"Input: soap Answer: s o a p
"
tide,t i d e,"Input: tide Answer: t i d e
"
fusion,f u s i o n,"Input: fusion Answer: f u s i o n
"
assignment,a s s i g n m e n t,"Input: assignment Answer: a s s i g n m e n t
"
mirror,m i r r o r,"Input: mirror Answer: m i r r o r
"
physician,p h y s i c i a n,"Input: physician Answer: p h y s i c i a n
"
testimony,t e s t i m o n y,"Input: testimony Answer: t e s t i m o n y
"
accuracy,a c c u r a c y,"Input: accuracy Answer: a c c u r a c y
"
cartoon,c a r t o o n,"Input: cartoon Answer: c a r t o o n
"
arcade,a r c a d e,"Input: arcade Answer: a r c a d e
"
drainage,d r a i n a g e,"Input: drainage Answer: d r a i n a g e
"
rifle,r i f l e,"Input: rifle Answer: r i f l e
"
momentum,m o m e n t u m,"Input: momentum Answer: m o m e n t u m
"
clergy,c l e r g y,"Input: clergy Answer: c l e r g y
"
swing,s w i n g,"Input: swing Answer: s w i n g
"
hardware,h a r d w a r e,"Input: hardware Answer: h a r d w a r e
"
colonel,c o l o n e l,"Input: colonel Answer: c o l o n e l
"
nobility,n o b i l i t y,"Input: nobility Answer: n o b i l i t y
"
liver,l i v e r,"Input: liver Answer: l i v e r
"
blast,b l a s t,"Input: blast Answer: b l a s t
"
bassist,b a s s i s t,"Input: bassist Answer: b a s s i s t
"
teenage,t e e n a g e,"Input: teenage Answer: t e e n a g e
"
bench,b e n c h,"Input: bench Answer: b e n c h
"
enforcement,e n f o r c e m e n t,"Input: enforcement Answer: e n f o r c e m e n t
"
myth,m y t h,"Input: myth Answer: m y t h
"
duet,d u e t,"Input: duet Answer: d u e t
"
freight,f r e i g h t,"Input: freight Answer: f r e i g h t
"
congregation,c o n g r e g a t i o n,"Input: congregation Answer: c o n g r e g a t i o n
"
maturity,m a t u r i t y,"Input: maturity Answer: m a t u r i t y
"
commerce,c o m m e r c e,"Input: commerce Answer: c o m m e r c e
"
municipality,m u n i c i p a l i t y,"Input: municipality Answer: m u n i c i p a l i t y
"
imprisonment,i m p r i s o n m e n t,"Input: imprisonment Answer: i m p r i s o n m e n t
"
skeleton,s k e l e t o n,"Input: skeleton Answer: s k e l e t o n
"
extinction,e x t i n c t i o n,"Input: extinction Answer: e x t i n c t i o n
"
passion,p a s s i o n,"Input: passion Answer: p a s s i o n
"
prayer,p r a y e r,"Input: prayer Answer: p r a y e r
"
limestone,l i m e s t o n e,"Input: limestone Answer: l i m e s t o n e
"
specialist,s p e c i a l i s t,"Input: specialist Answer: s p e c i a l i s t
"
sketch,s k e t c h,"Input: sketch Answer: s k e t c h
"
scope,s c o p e,"Input: scope Answer: s c o p e
"
burn,b u r n,"Input: burn Answer: b u r n
"
nationalist,n a t i o n a l i s t,"Input: nationalist Answer: n a t i o n a l i s t
"
conviction,c o n v i c t i o n,"Input: conviction Answer: c o n v i c t i o n
"
subsidiary,s u b s i d i a r y,"Input: subsidiary Answer: s u b s i d i a r y
"
resort,r e s o r t,"Input: resort Answer: r e s o r t
"
efficiency,e f f i c i e n c y,"Input: efficiency Answer: e f f i c i e n c y
"
volunteer,v o l u n t e e r,"Input: volunteer Answer: v o l u n t e e r
"
pointing,p o i n t i n g,"Input: pointing Answer: p o i n t i n g
"
runway,r u n w a y,"Input: runway Answer: r u n w a y
"
sphere,s p h e r e,"Input: sphere Answer: s p h e r e
"
summary,s u m m a r y,"Input: summary Answer: s u m m a r y
"
trademark,t r a d e m a r k,"Input: trademark Answer: t r a d e m a r k
"
instruction,i n s t r u c t i o n,"Input: instruction Answer: i n s t r u c t i o n
"
perception,p e r c e p t i o n,"Input: perception Answer: p e r c e p t i o n
"
garage,g a r a g e,"Input: garage Answer: g a r a g e
"
sexuality,s e x u a l i t y,"Input: sexuality Answer: s e x u a l i t y
"
lock,l o c k,"Input: lock Answer: l o c k
"
freshman,f r e s h m a n,"Input: freshman Answer: f r e s h m a n
"
tool,t o o l,"Input: tool Answer: t o o l
"
domain,d o m a i n,"Input: domain Answer: d o m a i n
"
rape,r a p e,"Input: rape Answer: r a p e
"
inquiry,i n q u i r y,"Input: inquiry Answer: i n q u i r y
"
tendency,t e n d e n c y,"Input: tendency Answer: t e n d e n c y
"
permit,p e r m i t,"Input: permit Answer: p e r m i t
"
athlete,a t h l e t e,"Input: athlete Answer: a t h l e t e
"
coffee,c o f f e e,"Input: coffee Answer: c o f f e e
"
scorer,s c o r e r,"Input: scorer Answer: s c o r e r
"
mask,m a s k,"Input: mask Answer: m a s k
"
prosecution,p r o s e c u t i o n,"Input: prosecution Answer: p r o s e c u t i o n
"
pitching,p i t c h i n g,"Input: pitching Answer: p i t c h i n g
"
effectiveness,e f f e c t i v e n e s s,"Input: effectiveness Answer: e f f e c t i v e n e s s
"
availability,a v a i l a b i l i t y,"Input: availability Answer: a v a i l a b i l i t y
"
synthesis,s y n t h e s i s,"Input: synthesis Answer: s y n t h e s i s
"
painter,p a i n t e r,"Input: painter Answer: p a i n t e r
"
referendum,r e f e r e n d u m,"Input: referendum Answer: r e f e r e n d u m
"
basement,b a s e m e n t,"Input: basement Answer: b a s e m e n t
"
judgment,j u d g m e n t,"Input: judgment Answer: j u d g m e n t
"
quest,q u e s t,"Input: quest Answer: q u e s t
"
cream,c r e a m,"Input: cream Answer: c r e a m
"
ballot,b a l l o t,"Input: ballot Answer: b a l l o t
"
adoption,a d o p t i o n,"Input: adoption Answer: a d o p t i o n
"
placement,p l a c e m e n t,"Input: placement Answer: p l a c e m e n t
"
homage,h o m a g e,"Input: homage Answer: h o m a g e
"
citizenship,c i t i z e n s h i p,"Input: citizenship Answer: c i t i z e n s h i p
"
skiing,s k i i n g,"Input: skiing Answer: s k i i n g
"
regulation,r e g u l a t i o n,"Input: regulation Answer: r e g u l a t i o n
"
possess,p o s s e s s,"Input: possess Answer: p o s s e s s
"
mouse,m o u s e,"Input: mouse Answer: m o u s e
"
countryside,c o u n t r y s i d e,"Input: countryside Answer: c o u n t r y s i d e
"
export,e x p o r t,"Input: export Answer: e x p o r t
"
goalkeeper,g o a l k e e p e r,"Input: goalkeeper Answer: g o a l k e e p e r
"
cabin,c a b i n,"Input: cabin Answer: c a b i n
"
colleague,c o l l e a g u e,"Input: colleague Answer: c o l l e a g u e
"
millimeter,m i l l i m e t e r,"Input: millimeter Answer: m i l l i m e t e r
"
solve,s o l v e,"Input: solve Answer: s o l v e
"
receiver,r e c e i v e r,"Input: receiver Answer: r e c e i v e r
"
stomach,s t o m a c h,"Input: stomach Answer: s t o m a c h
"
democracy,d e m o c r a c y,"Input: democracy Answer: d e m o c r a c y
"
dominance,d o m i n a n c e,"Input: dominance Answer: d o m i n a n c e
"
installment,i n s t a l l m e n t,"Input: installment Answer: i n s t a l l m e n t
"
throat,t h r o a t,"Input: throat Answer: t h r o a t
"
genius,g e n i u s,"Input: genius Answer: g e n i u s
"
keyboard,k e y b o a r d,"Input: keyboard Answer: k e y b o a r d
"
fortune,f o r t u n e,"Input: fortune Answer: f o r t u n e
"
correspondence,c o r r e s p o n d e n c e,"Input: correspondence Answer: c o r r e s p o n d e n c e
"
diagnosis,d i a g n o s i s,"Input: diagnosis Answer: d i a g n o s i s
"
mud,m u d,"Input: mud Answer: m u d
"
silence,s i l e n c e,"Input: silence Answer: s i l e n c e
"
activist,a c t i v i s t,"Input: activist Answer: a c t i v i s t
"
preservation,p r e s e r v a t i o n,"Input: preservation Answer: p r e s e r v a t i o n
"
businessman,b u s i n e s s m a n,"Input: businessman Answer: b u s i n e s s m a n
"
commit,c o m m i t,"Input: commit Answer: c o m m i t
"
editorial,e d i t o r i a l,"Input: editorial Answer: e d i t o r i a l
"
cluster,c l u s t e r,"Input: cluster Answer: c l u s t e r
"
detachment,d e t a c h m e n t,"Input: detachment Answer: d e t a c h m e n t
"
configuration,c o n f i g u r a t i o n,"Input: configuration Answer: c o n f i g u r a t i o n
"
complement,c o m p l e m e n t,"Input: complement Answer: c o m p l e m e n t
"
conductor,c o n d u c t o r,"Input: conductor Answer: c o n d u c t o r
"
plastic,p l a s t i c,"Input: plastic Answer: p l a s t i c
"
boarding,b o a r d i n g,"Input: boarding Answer: b o a r d i n g
"
trilogy,t r i l o g y,"Input: trilogy Answer: t r i l o g y
"
fault,f a u l t,"Input: fault Answer: f a u l t
"
unity,u n i t y,"Input: unity Answer: u n i t y
"
immigration,i m m i g r a t i o n,"Input: immigration Answer: i m m i g r a t i o n
"
determination,d e t e r m i n a t i o n,"Input: determination Answer: d e t e r m i n a t i o n
"
infant,i n f a n t,"Input: infant Answer: i n f a n t
"
steering,s t e e r i n g,"Input: steering Answer: s t e e r i n g
"
fever,f e v e r,"Input: fever Answer: f e v e r
"
persuade,p e r s u a d e,"Input: persuade Answer: p e r s u a d e
"
reward,r e w a r d,"Input: reward Answer: r e w a r d
"
depot,d e p o t,"Input: depot Answer: d e p o t
"
prominence,p r o m i n e n c e,"Input: prominence Answer: p r o m i n e n c e
"
tier,t i e r,"Input: tier Answer: t i e r
"
bowler,b o w l e r,"Input: bowler Answer: b o w l e r
"
inability,i n a b i l i t y,"Input: inability Answer: i n a b i l i t y
"
lion,l i o n,"Input: lion Answer: l i o n
"
thrust,t h r u s t,"Input: thrust Answer: t h r u s t
"
overtime,o v e r t i m e,"Input: overtime Answer: o v e r t i m e
"
fraud,f r a u d,"Input: fraud Answer: f r a u d
"
graduation,g r a d u a t i o n,"Input: graduation Answer: g r a d u a t i o n
"
transformation,t r a n s f o r m a t i o n,"Input: transformation Answer: t r a n s f o r m a t i o n
"
finger,f i n g e r,"Input: finger Answer: f i n g e r
"
filter,f i l t e r,"Input: filter Answer: f i l t e r
"
spectrum,s p e c t r u m,"Input: spectrum Answer: s p e c t r u m
"
sovereignty,s o v e r e i g n t y,"Input: sovereignty Answer: s o v e r e i g n t y
"
accommodation,a c c o m m o d a t i o n,"Input: accommodation Answer: a c c o m m o d a t i o n
"
shortage,s h o r t a g e,"Input: shortage Answer: s h o r t a g e
"
galaxy,g a l a x y,"Input: galaxy Answer: g a l a x y
"
quantity,q u a n t i t y,"Input: quantity Answer: q u a n t i t y
"
funk,f u n k,"Input: funk Answer: f u n k
"
blame,b l a m e,"Input: blame Answer: b l a m e
"
enthusiasm,e n t h u s i a s m,"Input: enthusiasm Answer: e n t h u s i a s m
"
sentiment,s e n t i m e n t,"Input: sentiment Answer: s e n t i m e n t
"
compact,c o m p a c t,"Input: compact Answer: c o m p a c t
"
relay,r e l a y,"Input: relay Answer: r e l a y
"
recommendation,r e c o m m e n d a t i o n,"Input: recommendation Answer: r e c o m m e n d a t i o n
"
strain,s t r a i n,"Input: strain Answer: s t r a i n
"
clearing,c l e a r i n g,"Input: clearing Answer: c l e a r i n g
"
array,a r r a y,"Input: array Answer: a r r a y
"
flash,f l a s h,"Input: flash Answer: f l a s h
"
propeller,p r o p e l l e r,"Input: propeller Answer: p r o p e l l e r
"
confrontation,c o n f r o n t a t i o n,"Input: confrontation Answer: c o n f r o n t a t i o n
"
narrator,n a r r a t o r,"Input: narrator Answer: n a r r a t o r
"
nucleus,n u c l e u s,"Input: nucleus Answer: n u c l e u s
"
pollution,p o l l u t i o n,"Input: pollution Answer: p o l l u t i o n
"
heating,h e a t i n g,"Input: heating Answer: h e a t i n g
"
displacement,d i s p l a c e m e n t,"Input: displacement Answer: d i s p l a c e m e n t
"
dock,d o c k,"Input: dock Answer: d o c k
"
superstructure,s u p e r s t r u c t u r e,"Input: superstructure Answer: s u p e r s t r u c t u r e
"
pocket,p o c k e t,"Input: pocket Answer: p o c k e t
"
welfare,w e l f a r e,"Input: welfare Answer: w e l f a r e
"
spur,s p u r,"Input: spur Answer: s p u r
"
imagination,i m a g i n a t i o n,"Input: imagination Answer: i m a g i n a t i o n
"
anchor,a n c h o r,"Input: anchor Answer: a n c h o r
"
criteria,c r i t e r i a,"Input: criteria Answer: c r i t e r i a
"
undergraduate,u n d e r g r a d u a t e,"Input: undergraduate Answer: u n d e r g r a d u a t e
"
captive,c a p t i v e,"Input: captive Answer: c a p t i v e
"
preference,p r e f e r e n c e,"Input: preference Answer: p r e f e r e n c e
"
trout,t r o u t,"Input: trout Answer: t r o u t
"
silk,s i l k,"Input: silk Answer: s i l k
"
rebuilding,r e b u i l d i n g,"Input: rebuilding Answer: r e b u i l d i n g
"
steal,s t e a l,"Input: steal Answer: s t e a l
"
weakness,w e a k n e s s,"Input: weakness Answer: w e a k n e s s
"
viewer,v i e w e r,"Input: viewer Answer: v i e w e r
"
accompany,a c c o m p a n y,"Input: accompany Answer: a c c o m p a n y
"
disk,d i s k,"Input: disk Answer: d i s k
"
breakdown,b r e a k d o w n,"Input: breakdown Answer: b r e a k d o w n
"
everybody,e v e r y b o d y,"Input: everybody Answer: e v e r y b o d y
"
parade,p a r a d e,"Input: parade Answer: p a r a d e
"
platoon,p l a t o o n,"Input: platoon Answer: p l a t o o n
"
photographer,p h o t o g r a p h e r,"Input: photographer Answer: p h o t o g r a p h e r
"
detect,d e t e c t,"Input: detect Answer: d e t e c t
"
dedication,d e d i c a t i o n,"Input: dedication Answer: d e d i c a t i o n
"
manufacturer,m a n u f a c t u r e r,"Input: manufacturer Answer: m a n u f a c t u r e r
"
calendar,c a l e n d a r,"Input: calendar Answer: c a l e n d a r
"
medley,m e d l e y,"Input: medley Answer: m e d l e y
"
monitoring,m o n i t o r i n g,"Input: monitoring Answer: m o n i t o r i n g
"
implementation,i m p l e m e n t a t i o n,"Input: implementation Answer: i m p l e m e n t a t i o n
"
deer,d e e r,"Input: deer Answer: d e e r
"
discrimination,d i s c r i m i n a t i o n,"Input: discrimination Answer: d i s c r i m i n a t i o n
"
breast,b r e a s t,"Input: breast Answer: b r e a s t
"
concentrate,c o n c e n t r a t e,"Input: concentrate Answer: c o n c e n t r a t e
"
emotion,e m o t i o n,"Input: emotion Answer: e m o t i o n
"
freestyle,f r e e s t y l e,"Input: freestyle Answer: f r e e s t y l e
"
grandmother,g r a n d m o t h e r,"Input: grandmother Answer: g r a n d m o t h e r
"
marble,m a r b l e,"Input: marble Answer: m a r b l e
"
civilization,c i v i l i z a t i o n,"Input: civilization Answer: c i v i l i z a t i o n
"
rode,r o d e,"Input: rode Answer: r o d e
"
guidance,g u i d a n c e,"Input: guidance Answer: g u i d a n c e
"
controller,c o n t r o l l e r,"Input: controller Answer: c o n t r o l l e r
"
hometown,h o m e t o w n,"Input: hometown Answer: h o m e t o w n
"
slot,s l o t,"Input: slot Answer: s l o t
"
mortality,m o r t a l i t y,"Input: mortality Answer: m o r t a l i t y
"
gospel,g o s p e l,"Input: gospel Answer: g o s p e l
"
nesting,n e s t i n g,"Input: nesting Answer: n e s t i n g
"
coaster,c o a s t e r,"Input: coaster Answer: c o a s t e r
"
capability,c a p a b i l i t y,"Input: capability Answer: c a p a b i l i t y
"
statute,s t a t u t e,"Input: statute Answer: s t a t u t e
"
communicate,c o m m u n i c a t e,"Input: communicate Answer: c o m m u n i c a t e
"
accounting,a c c o u n t i n g,"Input: accounting Answer: a c c o u n t i n g
"
torture,t o r t u r e,"Input: torture Answer: t o r t u r e
"
demolition,d e m o l i t i o n,"Input: demolition Answer: d e m o l i t i o n
"
farmland,f a r m l a n d,"Input: farmland Answer: f a r m l a n d
"
copyright,c o p y r i g h t,"Input: copyright Answer: c o p y r i g h t
"
complexity,c o m p l e x i t y,"Input: complexity Answer: c o m p l e x i t y
"
recipient,r e c i p i e n t,"Input: recipient Answer: r e c i p i e n t
"
nurse,n u r s e,"Input: nurse Answer: n u r s e
"
interface,i n t e r f a c e,"Input: interface Answer: i n t e r f a c e
"
manufacture,m a n u f a c t u r e,"Input: manufacture Answer: m a n u f a c t u r e
"
qualification,q u a l i f i c a t i o n,"Input: qualification Answer: q u a l i f i c a t i o n
"
cancellation,c a n c e l l a t i o n,"Input: cancellation Answer: c a n c e l l a t i o n
"
helium,h e l i u m,"Input: helium Answer: h e l i u m
"
violation,v i o l a t i o n,"Input: violation Answer: v i o l a t i o n
"
discharge,d i s c h a r g e,"Input: discharge Answer: d i s c h a r g e
"
broadcasting,b r o a d c a s t i n g,"Input: broadcasting Answer: b r o a d c a s t i n g
"
bedroom,b e d r o o m,"Input: bedroom Answer: b e d r o o m
"
tackle,t a c k l e,"Input: tackle Answer: t a c k l e
"
ancestor,a n c e s t o r,"Input: ancestor Answer: a n c e s t o r
"
premise,p r e m i s e,"Input: premise Answer: p r e m i s e
"
trace,t r a c e,"Input: trace Answer: t r a c e
"
boost,b o o s t,"Input: boost Answer: b o o s t
"
offspring,o f f s p r i n g,"Input: offspring Answer: o f f s p r i n g
"
perimeter,p e r i m e t e r,"Input: perimeter Answer: p e r i m e t e r
"
oxide,o x i d e,"Input: oxide Answer: o x i d e
"
nitrogen,n i t r o g e n,"Input: nitrogen Answer: n i t r o g e n
"
dioxide,d i o x i d e,"Input: dioxide Answer: d i o x i d e
"
auction,a u c t i o n,"Input: auction Answer: a u c t i o n
"
defender,d e f e n d e r,"Input: defender Answer: d e f e n d e r
"
dining,d i n i n g,"Input: dining Answer: d i n i n g
"
yield,y i e l d,"Input: yield Answer: y i e l d
"
kit,k i t,"Input: kit Answer: k i t
"
courage,c o u r a g e,"Input: courage Answer: c o u r a g e
"
livestock,l i v e s t o c k,"Input: livestock Answer: l i v e s t o c k
"
starter,s t a r t e r,"Input: starter Answer: s t a r t e r
"
opener,o p e n e r,"Input: opener Answer: o p e n e r
"
patent,p a t e n t,"Input: patent Answer: p a t e n t
"
mortar,m o r t a r,"Input: mortar Answer: m o r t a r
"
plumage,p l u m a g e,"Input: plumage Answer: p l u m a g e
"
isolation,i s o l a t i o n,"Input: isolation Answer: i s o l a t i o n
"
particle,p a r t i c l e,"Input: particle Answer: p a r t i c l e
"
aesthetic,a e s t h e t i c,"Input: aesthetic Answer: a e s t h e t i c
"
patch,p a t c h,"Input: patch Answer: p a t c h
"
feedback,f e e d b a c k,"Input: feedback Answer: f e e d b a c k
"
brass,b r a s s,"Input: brass Answer: b r a s s
"
ballet,b a l l e t,"Input: ballet Answer: b a l l e t
"
combine,c o m b i n e,"Input: combine Answer: c o m b i n e
"
hiatus,h i a t u s,"Input: hiatus Answer: h i a t u s
"
orientation,o r i e n t a t i o n,"Input: orientation Answer: o r i e n t a t i o n
"
stunt,s t u n t,"Input: stunt Answer: s t u n t
"
cooking,c o o k i n g,"Input: cooking Answer: c o o k i n g
"
clause,c l a u s e,"Input: clause Answer: c l a u s e
"
corporation,c o r p o r a t i o n,"Input: corporation Answer: c o r p o r a t i o n
"
slope,s l o p e,"Input: slope Answer: s l o p e
"
broader,b r o a d e r,"Input: broader Answer: b r o a d e r
"
instructor,i n s t r u c t o r,"Input: instructor Answer: i n s t r u c t o r
"
uncertainty,u n c e r t a i n t y,"Input: uncertainty Answer: u n c e r t a i n t y
"
wrestler,w r e s t l e r,"Input: wrestler Answer: w r e s t l e r
"
wildlife,w i l d l i f e,"Input: wildlife Answer: w i l d l i f e
"
alert,a l e r t,"Input: alert Answer: a l e r t
"
triumph,t r i u m p h,"Input: triumph Answer: t r i u m p h
"
conning,c o n n i n g,"Input: conning Answer: c o n n i n g
"
makeup,m a k e u p,"Input: makeup Answer: m a k e u p
"
ramp,r a m p,"Input: ramp Answer: r a m p
"
reflection,r e f l e c t i o n,"Input: reflection Answer: r e f l e c t i o n
"
kilometre,k i l o m e t r e,"Input: kilometre Answer: k i l o m e t r e
"
senator,s e n a t o r,"Input: senator Answer: s e n a t o r
"
nominee,n o m i n e e,"Input: nominee Answer: n o m i n e e
"
antagonist,a n t a g o n i s t,"Input: antagonist Answer: a n t a g o n i s t
"
triangle,t r i a n g l e,"Input: triangle Answer: t r i a n g l e
"
ghost,g h o s t,"Input: ghost Answer: g h o s t
"
shadow,s h a d o w,"Input: shadow Answer: s h a d o w
"
resemblance,r e s e m b l a n c e,"Input: resemblance Answer: r e s e m b l a n c e
"
diesel,d i e s e l,"Input: diesel Answer: d i e s e l
"
purchasing,p u r c h a s i n g,"Input: purchasing Answer: p u r c h a s i n g
"
filling,f i l l i n g,"Input: filling Answer: f i l l i n g
"
lunch,l u n c h,"Input: lunch Answer: l u n c h
"
comedian,c o m e d i a n,"Input: comedian Answer: c o m e d i a n
"
elimination,e l i m i n a t i o n,"Input: elimination Answer: e l i m i n a t i o n
"
outfit,o u t f i t,"Input: outfit Answer: o u t f i t
"
canon,c a n o n,"Input: canon Answer: c a n o n
"
caution,c a u t i o n,"Input: caution Answer: c a u t i o n
"
teenager,t e e n a g e r,"Input: teenager Answer: t e e n a g e r
"
similarity,s i m i l a r i t y,"Input: similarity Answer: s i m i l a r i t y
"
poster,p o s t e r,"Input: poster Answer: p o s t e r
"
log,l o g,"Input: log Answer: l o g
"
ancestry,a n c e s t r y,"Input: ancestry Answer: a n c e s t r y
"
realism,r e a l i s m,"Input: realism Answer: r e a l i s m
"
dragon,d r a g o n,"Input: dragon Answer: d r a g o n
"
patronage,p a t r o n a g e,"Input: patronage Answer: p a t r o n a g e
"
shipyard,s h i p y a r d,"Input: shipyard Answer: s h i p y a r d
"
entity,e n t i t y,"Input: entity Answer: e n t i t y
"
soccer,s o c c e r,"Input: soccer Answer: s o c c e r
"
deadline,d e a d l i n e,"Input: deadline Answer: d e a d l i n e
"
enzyme,e n z y m e,"Input: enzyme Answer: e n z y m e
"
powder,p o w d e r,"Input: powder Answer: p o w d e r
"
seating,s e a t i n g,"Input: seating Answer: s e a t i n g
"
drunk,d r u n k,"Input: drunk Answer: d r u n k
"
insect,i n s e c t,"Input: insect Answer: i n s e c t
"
biology,b i o l o g y,"Input: biology Answer: b i o l o g y
"
cloth,c l o t h,"Input: cloth Answer: c l o t h
"
supervision,s u p e r v i s i o n,"Input: supervision Answer: s u p e r v i s i o n
"
climax,c l i m a x,"Input: climax Answer: c l i m a x
"
hosting,h o s t i n g,"Input: hosting Answer: h o s t i n g
"
sitcom,s i t c o m,"Input: sitcom Answer: s i t c o m
"
unrest,u n r e s t,"Input: unrest Answer: u n r e s t
"
abundance,a b u n d a n c e,"Input: abundance Answer: a b u n d a n c e
"
invention,i n v e n t i o n,"Input: invention Answer: i n v e n t i o n
"
deity,d e i t y,"Input: deity Answer: d e i t y
"
horn,h o r n,"Input: horn Answer: h o r n
"
spore,s p o r e,"Input: spore Answer: s p o r e
"
complaint,c o m p l a i n t,"Input: complaint Answer: c o m p l a i n t
"
prose,p r o s e,"Input: prose Answer: p r o s e
"
gasoline,g a s o l i n e,"Input: gasoline Answer: g a s o l i n e
"
constituency,c o n s t i t u e n c y,"Input: constituency Answer: c o n s t i t u e n c y
"
beta,b e t a,"Input: beta Answer: b e t a
"
humour,h u m o u r,"Input: humour Answer: h u m o u r
"
stake,s t a k e,"Input: stake Answer: s t a k e
"
deficit,d e f i c i t,"Input: deficit Answer: d e f i c i t
"
collector,c o l l e c t o r,"Input: collector Answer: c o l l e c t o r
"
overlap,o v e r l a p,"Input: overlap Answer: o v e r l a p
"
integration,i n t e g r a t i o n,"Input: integration Answer: i n t e g r a t i o n
"
blocking,b l o c k i n g,"Input: blocking Answer: b l o c k i n g
"
pride,p r i d e,"Input: pride Answer: p r i d e
"
boxing,b o x i n g,"Input: boxing Answer: b o x i n g
"
coronation,c o r o n a t i o n,"Input: coronation Answer: c o r o n a t i o n
"
crossover,c r o s s o v e r,"Input: crossover Answer: c r o s s o v e r
"
posting,p o s t i n g,"Input: posting Answer: p o s t i n g
"
comeback,c o m e b a c k,"Input: comeback Answer: c o m e b a c k
"
mob,m o b,"Input: mob Answer: m o b
"
registration,r e g i s t r a t i o n,"Input: registration Answer: r e g i s t r a t i o n
"
button,b u t t o n,"Input: button Answer: b u t t o n
"
fungi,f u n g i,"Input: fungi Answer: f u n g i
"
shooter,s h o o t e r,"Input: shooter Answer: s h o o t e r
"
renovation,r e n o v a t i o n,"Input: renovation Answer: r e n o v a t i o n
"
warrant,w a r r a n t,"Input: warrant Answer: w a r r a n t
"
terrorist,t e r r o r i s t,"Input: terrorist Answer: t e r r o r i s t
"
reactor,r e a c t o r,"Input: reactor Answer: r e a c t o r
"
matching,m a t c h i n g,"Input: matching Answer: m a t c h i n g
"
compose,c o m p o s e,"Input: compose Answer: c o m p o s e
"
hate,h a t e,"Input: hate Answer: h a t e
"
lecture,l e c t u r e,"Input: lecture Answer: l e c t u r e
"
stealing,s t e a l i n g,"Input: stealing Answer: s t e a l i n g
"
calcium,c a l c i u m,"Input: calcium Answer: c a l c i u m
"
recruiting,r e c r u i t i n g,"Input: recruiting Answer: r e c r u i t i n g
"
hub,h u b,"Input: hub Answer: h u b
"
framework,f r a m e w o r k,"Input: framework Answer: f r a m e w o r k
"
tragedy,t r a g e d y,"Input: tragedy Answer: t r a g e d y
"
papal,p a p a l,"Input: papal Answer: p a p a l
"
recall,r e c a l l,"Input: recall Answer: r e c a l l
"
implement,i m p l e m e n t,"Input: implement Answer: i m p l e m e n t
"
